,ident,grp,col,country,cid,name,Unnamed: 0,Unnamed: 0.1,MEP.ID,FullName,Country,Party,EPG,correctYea,wrongYea,wrongNay,correctNay,GMP,CC,coord1D,coord2D,se1D,se2D,corr.1,lastname,firstname
545,28615,ECR,#0000FF,Latvia,LVA,roberts_zīle,730.0,"ZĪLE, Roberts",731.0,"ZĪLE, Roberts",Latvia,Tēvzemei un Brīvībai/LNNK,European Conservatives and Reformists Group,1929.0,246.0,336.0,1932.0,0.7279615998268131,0.86900742741391,0.101785518229008,0.414620786905289,0.0,0.0,0.0,ZĪLE,Roberts
547,1929,EPP,#80BFFF,Germany,DEU,christa_klass,345.0,"KLASS, Christa",346.0,"KLASS, Christa",Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),3789.0,156.0,130.0,2299.0,0.871651470661163,0.95513021650455,-0.0140479188412428,-0.863061964511871,0.0,0.0,0.0,KLASS,Christa
548,28292,S_D,#FF0000,Spain,ESP,inés_ayala_sender,27.0,"AYALA SENDER, Inés",28.0,"AYALA SENDER, Inés",Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3699.0,164.0,158.0,1375.0,0.852693021297455,0.9403261675315052,-0.184716209769249,-0.33125680685043296,0.0,0.0,0.0,AYALA SENDER,Inés
549,96871,ALDE,#FFFF00,Germany,DEU,michael_theurer,652.0,"THEURER, Michael",653.0,"THEURER, Michael",Germany,Freie Demokratische Partei,Group of the Alliance of Liberals and Democrats for Europe,3019.0,455.0,252.0,1468.0,0.743986487388611,0.863881401617251,-0.0746887624263763,0.3399480879306789,0.0,0.0,0.0,THEURER,Michael
550,113891,G_EFA,#009900,France,FRA,jean-jacob_bicep,801.0,"BICEP, Jean-Jacob",802.0,"BICEP, Jean-Jacob",France,Europe Écologie,Group of the Greens/European Free Alliance,2069.0,138.0,73.0,843.0,0.83935672044754,0.9324367595260972,-0.39867177605629,0.771255731582642,0.0,0.0,0.0,BICEP,Jean-Jacob
551,23782,EPP,#80BFFF,Poland,POL,jacek_protasiewicz,528.0,"PROTASIEWICZ, Jacek",529.0,"PROTASIEWICZ, Jacek",Poland,Platforma Obywatelska,Group of the European People's Party (Christian Democrats),2761.0,150.0,85.0,1704.0,0.880865335464478,0.95,-0.005736451130360361,-0.9999836087226872,0.0,0.0,0.0,PROTASIEWICZ,Jacek
552,96977,EPP,#80BFFF,Portugal,PRT,diogo_feio,193.0,"FEIO, Diogo",194.0,"FEIO, Diogo",Portugal,Partido Popular,Group of the European People's Party (Christian Democrats),3576.0,130.0,174.0,2000.0,0.864255607128143,0.9482993197278908,-0.0258419774472713,-0.8197806477546691,0.0,0.0,0.0,FEIO,Diogo
553,96850,EPP,#80BFFF,France,FRA,damien_abad,0.0,"ABAD, Damien",1.0,"ABAD, Damien",France,Nouveau Centre,Group of the European People's Party (Christian Democrats),1357.0,55.0,76.0,688.0,0.8619045615196229,0.939797794117647,-0.0291419234126806,-0.7379773855209351,0.0,0.0,0.0,ABAD,Damien
554,1059,G_EFA,#009900,Germany,DEU,hiltrud_breyer,842.0,"BREYER, Hiltrud",843.0,"BREYER, Hiltrud",Germany,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,1166.0,64.0,50.0,386.0,0.846909940242767,0.931572629051621,-0.378189384937286,0.8198807835578922,0.0,0.0,0.0,BREYER,Hiltrud
555,28193,EPP,#80BFFF,France,FRA,jean-paul_gauzès,221.0,"GAUZÈS, Jean-Paul",222.0,"GAUZÈS, Jean-Paul",France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),3455.0,108.0,116.0,2078.0,0.8967871069908141,0.961090845926698,-0.0205871816724539,-0.999788105487823,0.0,0.0,0.0,GAUZÈS,Jean-Paul
556,28244,ALDE,#FFFF00,Germany,DEU,wolf_klinz,346.0,"KLINZ, Wolf",347.0,"KLINZ, Wolf",Germany,Freie Demokratische Partei,Group of the Alliance of Liberals and Democrats for Europe,2867.0,418.0,259.0,1531.0,0.745676577091217,0.8666009852216751,-0.0669116005301476,0.34969425201416,0.0,0.0,0.0,KLINZ,Wolf
557,28362,EPP,#80BFFF,Spain,ESP,jaime_mayor_oreja,437.0,"MAYOR OREJA, Jaime",438.0,"MAYOR OREJA, Jaime",Spain,Partido Popular,Group of the European People's Party (Christian Democrats),2920.0,127.0,74.0,1879.0,0.891998648643494,0.9598,-0.008834946900606159,-0.999961018562317,0.0,0.0,0.0,MAYOR OREJA,Jaime
558,96778,ECR,#0000FF,Poland,POL,artur_zasada,726.0,"ZASADA, Artur",727.0,"ZASADA, Artur",Poland,Polska Razem Jarosława Gowina,European Conservatives and Reformists Group,3054.0,475.0,209.0,2038.0,0.7493585348129269,0.8815789473684209,0.0297837164252996,-0.295533895492554,0.0,0.0,0.0,ZASADA,Artur
559,96860,EPP,#80BFFF,France,FRA,michèle_striffler,629.0,"STRIFFLER, Michèle",630.0,"STRIFFLER, Michèle",France,Parti Radical / Union des Démocrates et Indépendants,Group of the European People's Party (Christian Democrats),3479.0,365.0,332.0,1752.0,0.73785263299942,0.882422402159244,-0.0649466812610626,-0.35764402151107794,0.0,0.0,0.0,STRIFFLER,Michèle
560,1263,EPP,#80BFFF,Germany,DEU,elmar_brok,83.0,"BROK, Elmar",84.0,"BROK, Elmar",Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),2965.0,112.0,107.0,1795.0,0.8812090754508969,0.9560152641092592,-0.0223434362560511,-0.968315780162811,0.0,0.0,0.0,BROK,Elmar
561,96835,EPP,#80BFFF,Romania,ROU,traian_ungureanu,676.0,"UNGUREANU, Traian",677.0,"UNGUREANU, Traian",Romania,Partidul Democrat-Liberal,Group of the European People's Party (Christian Democrats),2405.0,65.0,62.0,1518.0,0.906425654888153,0.968641975308642,-0.00918705016374588,-0.999957799911499,0.0,0.0,0.0,UNGUREANU,Traian
562,4328,S_D,#FF0000,Spain,ESP,raimon_obiols,480.0,"OBIOLS, Raimon",481.0,"OBIOLS, Raimon",Spain,Partit dels Socialistes de Catalunya,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3511.0,143.0,186.0,1447.0,0.850214540958405,0.937771893323246,-0.18897970020771,-0.28076913952827504,0.0,0.0,0.0,OBIOLS,Raimon
563,97025,S_D,#FF0000,Estonia,EST,ivari_padar,489.0,"PADAR, Ivari",490.0,"PADAR, Ivari",Estonia,Sotsiaaldemokraatlik Erakond,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3819.0,90.0,103.0,1546.0,0.893542766571045,0.965275278877294,-0.18787820637226105,-0.260188937187195,0.0,0.0,0.0,PADAR,Ivari
564,28178,EPP,#80BFFF,Slovakia,SVK,miroslav_mikolášik,451.0,"MIKOLÁŠIK, Miroslav",452.0,"MIKOLÁŠIK, Miroslav",Slovakia,Kresťanskodemokratické hnutie,Group of the European People's Party (Christian Democrats),3493.0,131.0,83.0,2144.0,0.898090124130249,0.963425055546061,-0.00936879031360149,-0.99995619058609,0.0,0.0,0.0,MIKOLÁŠIK,Miroslav
565,4521,ECR,#0000FF,UnitedKingdom,GBR,charles_tannock,643.0,"TANNOCK, Charles",644.0,"TANNOCK, Charles",United Kingdom,Conservative Party,European Conservatives and Reformists Group,2257.0,143.0,93.0,3384.0,0.8495029211044308,0.959843457546367,0.170343458652496,0.761018097400665,0.0,0.0,0.0,TANNOCK,Charles
566,1965,ALDE,#FFFF00,Netherlands,NLD,jan_mulder,747.0,"MULDER, Jan",748.0,"MULDER, Jan",Netherlands,Volkspartij voor Vrijheid en Democratie,Group of the Alliance of Liberals and Democrats for Europe,3208.0,451.0,247.0,1463.0,0.7533864378929142,0.8699944123672941,-0.0780969634652138,0.339983612298965,0.0,0.0,0.0,MULDER,Jan
567,103132,NI,#DDDDDD,Netherlands,NLD,lucas_hartong,746.0,"HARTONG, Lucas",747.0,"HARTONG, Lucas",Netherlands,Partij voor de Vrijheid,Non-attached Members,583.0,655.0,387.0,3243.0,0.6491791009902951,0.7859490550534101,0.892521739006042,0.451004236936569,0.0,0.0,0.0,HARTONG,Lucas
568,96707,EPP,#80BFFF,Hungary,HUN,ágnes_hankiss,264.0,"HANKISS, Ágnes",265.0,"HANKISS, Ágnes",Hungary,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats),2620.0,144.0,88.0,1497.0,0.860709726810455,0.946654403311106,-0.0204600654542446,-0.8743262887001041,0.0,0.0,0.0,HANKISS,Ágnes
569,96671,S_D,#FF0000,Malta,MLT,edward_scicluna,587.0,"SCICLUNA, Edward",588.0,"SCICLUNA, Edward",Malta,Partit Laburista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1700.0,94.0,91.0,754.0,0.8277379870414731,0.929897688518378,-0.186668127775192,-0.235688030719757,0.0,0.0,0.0,SCICLUNA,Edward
570,96979,S_D,#FF0000,Italy,ITA,francesca_balzani,37.0,"BALZANI, Francesca",38.0,"BALZANI, Francesca",Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2981.0,129.0,154.0,1222.0,0.8608295917510991,0.9369148461881408,-0.209783121943474,-0.117878749966621,0.0,0.0,0.0,BALZANI,Francesca
571,4246,EPP,#80BFFF,Austria,AUT,othmar_karas,332.0,"KARAS, Othmar",333.0,"KARAS, Othmar",Austria,Österreichische Volkspartei,Group of the European People's Party (Christian Democrats),3229.0,165.0,191.0,1934.0,0.83382511138916,0.9354955607899978,-0.0320448577404022,-0.7737842798233029,0.0,0.0,0.0,KARAS,Othmar
572,2307,EPP,#80BFFF,Austria,AUT,hubert_pirker,755.0,"PIRKER, Hubert",756.0,"PIRKER, Hubert",Austria,Österreichische Volkspartei,Group of the European People's Party (Christian Democrats),2852.0,164.0,160.0,1621.0,0.837082803249359,0.932457786116323,-0.0376090258359909,-0.760169744491577,0.0,0.0,0.0,PIRKER,Hubert
573,1852,EPP,#80BFFF,Germany,DEU,dieter-lebrecht_koch,348.0,"KOCH, Dieter-Lebrecht",349.0,"KOCH, Dieter-Lebrecht",Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),3688.0,177.0,105.0,2295.0,0.8796674013137821,0.9549880287310448,-0.0116956336423755,-0.90155965089798,0.0,0.0,0.0,KOCH,Dieter-Lebrecht
574,96872,ALDE,#FFFF00,Germany,DEU,nadja_hirsch,284.0,"HIRSCH, Nadja",285.0,"HIRSCH, Nadja",Germany,Freie Demokratische Partei,Group of the Alliance of Liberals and Democrats for Europe,3083.0,450.0,239.0,1475.0,0.746471881866455,0.868686868686869,-0.0855752378702164,0.3660986721515661,0.0,0.0,0.0,HIRSCH,Nadja
576,96999,S_D,#FF0000,Latvia,LVA,alexander_mirsky,454.0,"MIRSKY, Alexander",455.0,"MIRSKY, Alexander",Latvia,Politiskā Partija 'Alternative',Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3017.0,96.0,128.0,1359.0,0.8653482794761659,0.9513043478260872,-0.193930953741074,-0.194662526249886,0.0,0.0,0.0,MIRSKY,Alexander
577,117477,G_EFA,#009900,Belgium,BEL,mark_demesmaeker,816.0,"DEMESMAEKER, Mark",817.0,"DEMESMAEKER, Mark",Belgium,Nieuw-Vlaamse Alliantie,Group of the Greens/European Free Alliance,1403.0,304.0,187.0,486.0,0.6353594064712521,0.793697478991597,-0.129240289330482,0.525623440742493,0.0,0.0,0.0,DEMESMAEKER,Mark
