,Unnamed: 0,MEP.ID,FullName,Country,Party,EPG,correctYea,wrongYea,wrongNay,correctNay,GMP,CC,coord1D,coord2D,se1D,se2D,corr.1,lastname,firstname,name
698,"WAŁĘSA, Jarosław Leszek",699,"WAŁĘSA, Jarosław Leszek",Poland,Platforma Obywatelska,Group of the European People's Party (Christian Democrats),3192.0,165.0,97.0,1942.0,0.882277011871338,0.951445515196442,-0.00668274890631437,-0.999977707862854,0.0,0.0,0.0,WAŁĘSA,Jarosław Leszek,jarosław_leszek_wałęsa
699,"WALLIS, Diana",700,"WALLIS, Diana",United Kingdom,Liberal Democrats Party,Group of the Alliance of Liberals and Democrats for Europe,1022.0,103.0,73.0,469.0,0.779106318950653,0.8944211157768449,-0.10602854937315,0.368851512670517,0.0,0.0,0.0,WALLIS,Diana,diana_wallis
700,"WATSON, Sir Graham",701,"WATSON, Sir Graham",United Kingdom,Liberal Democrats Party,Group of the Alliance of Liberals and Democrats for Europe,3317.0,365.0,209.0,1589.0,0.777083337306976,0.895255474452555,-0.0952190905809402,0.41059648990631104,0.0,0.0,0.0,WATSON,Sir Graham,sir_graham_watson
701,"WEBER, Henri",702,"WEBER, Henri",France,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3122.0,132.0,189.0,1217.0,0.837920188903809,0.931115879828326,-0.199103638529778,-0.22196789085864999,0.0,0.0,0.0,WEBER,Henri,henri_weber
702,"WEBER, Manfred",703,"WEBER, Manfred",Germany,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats),3584.0,148.0,95.0,2187.0,0.892398595809937,0.9595942800133019,-0.0122244143858552,-0.9843474626541141,0.0,0.0,0.0,WEBER,Manfred,manfred_weber
703,"WEBER, Renate",704,"WEBER, Renate",Romania,Partidul Naţional Liberal,Group of the Alliance of Liberals and Democrats for Europe,3410.0,390.0,230.0,1532.0,0.7801356911659241,0.888529306005034,-0.0986648350954056,0.338629961013794,0.0,0.0,0.0,WEBER,Renate,renate_weber
704,"WEILER, Barbara",705,"WEILER, Barbara",Germany,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3899.0,205.0,176.0,1524.0,0.8546596169471741,0.934355616815989,-0.21719628572464,0.02538544498384,0.0,0.0,0.0,WEILER,Barbara,barbara_weiler
705,"WEISGERBER, Anja",706,"WEISGERBER, Anja",Germany,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats),1741.0,59.0,54.0,1183.0,0.892813265323639,0.9627922291735259,-0.00994393229484558,-0.8241219520568851,0.0,0.0,0.0,WEISGERBER,Anja,anja_weisgerber
706,"WERTHMANN, Angelika",707,"WERTHMANN, Angelika",Austria,-,Non-attached Members,3465.0,524.0,535.0,1109.0,0.6497260332107541,0.812000710101189,-0.16457962989807098,0.626307308673859,0.0,0.0,0.0,WERTHMANN,Angelika,angelika_werthmann
707,"WESTLUND, Åsa",708,"WESTLUND, Åsa",Sweden,Arbetarepartiet- Socialdemokraterna,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2548.0,298.0,182.0,985.0,0.7493309974670409,0.88038873660603,-0.201513424515724,0.333631277084351,0.0,0.0,0.0,WESTLUND,Åsa,åsa_westlund
708,"WESTPHAL, Kerstin",709,"WESTPHAL, Kerstin",Germany,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3510.0,152.0,99.0,1469.0,0.8804432153701779,0.9520076481835559,-0.20293147861957603,-0.14791627228260001,0.0,0.0,0.0,WESTPHAL,Kerstin,kerstin_westphal
709,"WIELAND, Rainer",710,"WIELAND, Rainer",Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),3430.0,131.0,80.0,2094.0,0.895804941654205,0.9632083696599829,-0.0113919088616967,-0.999935150146484,0.0,0.0,0.0,WIELAND,Rainer,rainer_wieland
710,"WIKSTRÖM, Cecilia",711,"WIKSTRÖM, Cecilia",Sweden,Folkpartiet liberalerna,Group of the Alliance of Liberals and Democrats for Europe,3410.0,463.0,269.0,1615.0,0.744492471218109,0.8728504429390308,-0.0885320603847504,0.41342157125473,0.0,0.0,0.0,WIKSTRÖM,Cecilia,cecilia_wikström
711,"WILLMOTT, Glenis",712,"WILLMOTT, Glenis",United Kingdom,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3716.0,400.0,250.0,1408.0,0.7587207555770871,0.88742639418081,-0.17775955796241802,0.270482659339905,0.0,0.0,0.0,WILLMOTT,Glenis,glenis_willmott
712,"WILS, Sabine",713,"WILS, Sabine",Germany,DIE LINKE.,Confederal Group of the European United Left - Nordic Green Left,2809.0,769.0,364.0,1096.0,0.674162566661835,0.775109170305677,-0.825520038604736,0.0788403674960136,0.0,0.0,0.0,WILS,Sabine,sabine_wils
713,"WINKLER, Iuliu",714,"WINKLER, Iuliu",Romania,Uniunea Democrată Maghiară din România,Group of the European People's Party (Christian Democrats),3374.0,143.0,137.0,1935.0,0.862435162067413,0.94990159241367,-0.0200015529990196,-0.8438960909843441,0.0,0.0,0.0,WINKLER,Iuliu,iuliu_winkler
714,"WINKLER, Hermann",715,"WINKLER, Hermann",Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),2897.0,643.0,115.0,2137.0,0.698260843753815,0.869129834254144,0.0218390915542841,-0.40011242032051103,0.0,0.0,0.0,WINKLER,Hermann,hermann_winkler
715,"WŁOSOWICZ, Jacek",716,"WŁOSOWICZ, Jacek",Poland,Solidarna Polska,Europe of freedom and democracy Group,1743.0,340.0,493.0,2282.0,0.666323363780975,0.828530259365994,0.126213788986206,0.459574818611145,0.0,0.0,0.0,WŁOSOWICZ,Jacek,jacek_włosowicz
716,"WOJCIECHOWSKI, Janusz",717,"WOJCIECHOWSKI, Janusz",Poland,Prawo i Sprawiedliwość,European Conservatives and Reformists Group,1828.0,258.0,424.0,2346.0,0.7173054218292241,0.859555189456343,0.13016176223754902,0.451730161905289,0.0,0.0,0.0,WOJCIECHOWSKI,Janusz,janusz_wojciechowski
717,"WORTMANN-KOOL, Corien",718,"WORTMANN-KOOL, Corien",Netherlands,Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats),3313.0,172.0,133.0,1901.0,0.8508502840995792,0.944736365283566,-0.0208768844604492,-0.5451955795288089,0.0,0.0,0.0,WORTMANN-KOOL,Corien,corien_wortmann-kool
718,"YÁÑEZ-BARNUEVO GARCÍA, Luis",719,"YÁÑEZ-BARNUEVO GARCÍA, Luis",Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3778.0,156.0,174.0,1466.0,0.854626893997192,0.940796555435953,-0.18869124352932,-0.324976921081543,0.0,0.0,0.0,YÁÑEZ-BARNUEVO GARCÍA,Luis,luis_yáñez-barnuevo_garcía
719,"YANNAKOUDAKIS, Marina",720,"YANNAKOUDAKIS, Marina",United Kingdom,Conservative Party,European Conservatives and Reformists Group,1959.0,123.0,91.0,2907.0,0.844497799873352,0.957874015748032,0.167520806193352,0.75171971321106,0.0,0.0,0.0,YANNAKOUDAKIS,Marina,marina_yannakoudakis
720,"ZÁBORSKÁ, Anna",721,"ZÁBORSKÁ, Anna",Slovakia,Kresťanskodemokratické hnutie,Group of the European People's Party (Christian Democrats),3473.0,181.0,111.0,2132.0,0.867397367954254,0.9504832965914871,-0.007226465269923209,-0.9493174552917479,0.0,0.0,0.0,ZÁBORSKÁ,Anna,anna_záborská
721,"ZAHRADIL, Jan",722,"ZAHRADIL, Jan",Czech Republic,Občanská demokratická strana,European Conservatives and Reformists Group,1913.0,139.0,177.0,2667.0,0.817255437374115,0.9354575163398691,0.16039597988128698,0.72393786907196,0.0,0.0,0.0,ZAHRADIL,Jan,jan_zahradil
722,"ZALA, Boris",723,"ZALA, Boris",Slovakia,SMER-Sociálna demokracia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3584.0,99.0,103.0,1426.0,0.875623881816864,0.9612432847275519,-0.18434117734432198,-0.256538510322571,0.0,0.0,0.0,ZALA,Boris,boris_zala
723,"ZALBA BIDEGAIN, Pablo",724,"ZALBA BIDEGAIN, Pablo",Spain,Partido Popular,Group of the European People's Party (Christian Democrats),3346.0,146.0,127.0,2049.0,0.8671110272407528,0.951834862385321,-0.0136241419240832,-0.999907195568085,0.0,0.0,0.0,ZALBA BIDEGAIN,Pablo,pablo_zalba_bidegain
724,"ZALEWSKI, Paweł",725,"ZALEWSKI, Paweł",Poland,Platforma Obywatelska,Group of the European People's Party (Christian Democrats),3111.0,212.0,149.0,1895.0,0.84263402223587,0.932737097074716,-0.0024216859601438,-0.856285333633423,0.0,0.0,0.0,ZALEWSKI,Paweł,paweł_zalewski
725,"ZANICCHI, Iva",726,"ZANICCHI, Iva",Italy,Forza Italia,Group of the European People's Party (Christian Democrats),3474.0,91.0,117.0,2117.0,0.896931946277618,0.9641317468529059,-0.0176578089594841,-0.999844193458557,0.0,0.0,0.0,ZANICCHI,Iva,iva_zanicchi
726,"ZASADA, Artur",727,"ZASADA, Artur",Poland,Polska Razem Jarosława Gowina,European Conservatives and Reformists Group,3054.0,475.0,209.0,2038.0,0.7493585348129269,0.8815789473684209,0.0297837164252996,-0.295533895492554,0.0,0.0,0.0,ZASADA,Artur,artur_zasada
727,"ŽDANOKA, Tatjana",728,"ŽDANOKA, Tatjana",Latvia,Par cilvēka tiesībām vienotā Latvijā,Group of the Greens/European Free Alliance,4015.0,274.0,225.0,1478.0,0.8086120486259459,0.9167222963951941,-0.3805564343929289,0.7777036428451541,0.0,0.0,0.0,ŽDANOKA,Tatjana,tatjana_ždanoka
728,"ZELLER, Joachim",729,"ZELLER, Joachim",Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),3140.0,302.0,134.0,2041.0,0.808351278305054,0.9223784938579309,-0.00220781238749623,-0.5892895460128779,0.0,0.0,0.0,ZELLER,Joachim,joachim_zeller
729,"ZEMKE, Janusz Władysław",730,"ZEMKE, Janusz Władysław",Poland,Sojusz Lewicy Demokratycznej,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,4131.0,276.0,196.0,1683.0,0.81128978729248,0.924912503977092,-0.16600817441940302,-0.299176096916199,0.0,0.0,0.0,ZEMKE,Janusz Władysław,janusz_władysław_zemke
730,"ZĪLE, Roberts",731,"ZĪLE, Roberts",Latvia,Tēvzemei un Brīvībai/LNNK,European Conservatives and Reformists Group,1929.0,246.0,336.0,1932.0,0.7279615998268131,0.86900742741391,0.10178551822900801,0.414620786905289,0.0,0.0,0.0,ZĪLE,Roberts,roberts_zīle
731,"ZIMMER, Gabriele",732,"ZIMMER, Gabriele",Germany,DIE LINKE.,Confederal Group of the European United Left - Nordic Green Left,3001.0,646.0,362.0,1102.0,0.693771660327911,0.802778321267854,-0.7891453504562379,-0.0475688017904758,0.0,0.0,0.0,ZIMMER,Gabriele,gabriele_zimmer
732,"ZIOBRO, Zbigniew",733,"ZIOBRO, Zbigniew",Poland,Solidarna Polska,Europe of freedom and democracy Group,1527.0,380.0,458.0,2260.0,0.644642353057861,0.818810810810811,0.13780443370342302,0.48860061168670704,0.0,0.0,0.0,ZIOBRO,Zbigniew,zbigniew_ziobro
733,"ZVER, Milan",734,"ZVER, Milan",Slovenia,Slovenska demokratska stranka,Group of the European People's Party (Christian Democrats),3474.0,110.0,59.0,2130.0,0.9063954949378971,0.970725792482245,-0.0154618816450238,-0.9323943257331851,0.0,0.0,0.0,ZVER,Milan,milan_zver
734,"ZWIEFKA, Tadeusz",735,"ZWIEFKA, Tadeusz",Poland,Platforma Obywatelska,Group of the European People's Party (Christian Democrats),3420.0,161.0,101.0,2199.0,0.8929173350334171,0.955449753443292,-0.0076344092376530205,-0.9999709129333499,0.0,0.0,0.0,ZWIEFKA,Tadeusz,tadeusz_zwiefka
735,"JELEVA, Rumiana",736,"JELEVA, Rumiana",Bulgaria,Independent,Group of the European People's Party (Christian Democrats),,,,,,,,,,,,JELEVA,Rumiana,rumiana_jeleva
736,"MARCOURT, Jean-Claude",737,"MARCOURT, Jean-Claude",Belgium,Independent,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,,,,,,,,,,,MARCOURT,Jean-Claude,jean-claude_marcourt
737,"KOVATCHEV, Andrey",738,"KOVATCHEV, Andrey",Bulgaria,Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats),3427.0,109.0,121.0,2008.0,0.8853460550308231,0.959399823477493,-0.0212920606136322,-0.8484073877334591,0.0,0.0,0.0,KOVATCHEV,Andrey,andrey_kovatchev
