Vote Id,Order,,Date,Title,Procedure,Leg/NonLeg,Type of Vote,Rule,Rapporteur,Link,Committee,Policy Area,Part no,Subject,Am no,Author,RCV,Result,Yaes,Nays,Abstentions,Excluded
96,6,6,17/11/2004,Situation in Cuba,RSP,Non,Motion for resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041117&secondRef=TOC,0,Foreign & security policy,,§ 6,1D,"ALDE, UEN",RCV,-,279,391,16,0
97,6,7,17/11/2004,Situation in Cuba,RSP,Non,Motion for resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041117&secondRef=TOC,0,Foreign & security policy,,vote: resolution (as a whole),,,RCV,+,376,281,26,0
98,6,1,17/11/2004,"European Council meeting (Brussels, 4-5 November 2004)",RSP,Non,Joint motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041117&secondRef=TOC,0,Constitutional and inter-institutional affairs,,After § 11,3,GUE/NGL,RCV,-,304,360,15,0
99,6,2,17/11/2004,"European Council meeting (Brussels, 4-5 November 2004)",RSP,Non,Joint motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041117&secondRef=TOC,0,Constitutional and inter-institutional affairs,,After § 11,5,GUE/NGL,RCV,-,244,409,24,0
100,6,3,17/11/2004,"European Council meeting (Brussels, 4-5 November 2004)",RSP,Non,Joint motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041117&secondRef=TOC,0,Constitutional and inter-institutional affairs,,After § 34,14,ALDE,RCV,+,625,23,25,0
101,7,1,18/11/2004,Election of the Commission,NOM,Non,Joint motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041118&secondRef=TOC,0,Constitutional and inter-institutional affairs,,vote: resolution (as a whole),,0,RCV,+,478,84,98,0
102,7,2,18/11/2004,Election of the Commission,NOM,Non,Draft decision (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041118&secondRef=TOC,0,Constitutional and inter-institutional affairs,,vote: decision (as a whole),,0,RCV,+,449,149,82,0
103,7,1,18/11/2004,European Ombudsman - annual report for 2003,INI,Non,Motion for resolution (as a whole),s,Proinsias De Rossa,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041118&secondRef=TOC,PETI,Petitions,,vote: resolution (as a whole),,0,RCV,+,530,9,20,0
104,7,1,18/11/2004,Tibet (case of Tenzin Delek Rinpoche),RSP,Non,Joint motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041118&secondRef=TOC,0,Foreign & security policy,,vote: resolution (as a whole),,0,RCV,+,104,1,3,0
105,8,1,1/12/2004,Change to the agenda,,Non,,,,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041201&secondRef=TOC&language=EN,,Internal regulations of the EP,,Change to the agenda,,,RCV,-,104,130,22,0
106,9,1,2/12/2004,EC-Monaco Agreement (taxation of savings income),CNS,Leg,"Proposal for a Council decision, single vote",s,Jean-Paul Gauzès,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041202&secondRef=TOC,ECON,Economics,,single vote,,0,RCV,+,449,12,40,0
107,9,1,2/12/2004,EU citizens' passports,CNS,Leg,Draft legislative resolution (as a whole),s,Carlos Coelho,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041202&secondRef=TOC,LIBE,"Civil liberties, justice & home affairs",,vote: legislative resolution (as a whole),,0,RCV,+,471,118,6,0
108,9,1,2/12/2004,Financial perspectives,RSP,Non,Motion for resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041202&secondRef=TOC,Temporary Committee,Economics,,After § 1,1,GUE/NGL,RCV,-,81,500,11,0
109,9,2,2/12/2004,Financial perspectives,RSP,Non,Motion for resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041202&secondRef=TOC,Temporary Committee,Economics,,vote: resolution (as a whole),,0,RCV,+,499,67,39,0
110,10,1,14/12/2004,Support for rural development,CNS,Leg,"Proposal for a Council decision, single vote",s,Joseph Daul,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041214&secondRef=TOC,AGRI,Agriculture,,single vote,,0,RCV,+,603,20,16,0
111,11,1,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,§ 1,41,IND/DEM,RCV,-,70,593,36,0
112,11,2,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After § 1,42,IND/DEM,RCV,-,64,608,28,0
113,11,3,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After § 1,43,IND/DEM,RCV,-,47,625,25,0
114,11,4,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,§ 5,6,Mr TOUBON,RCV,-,270,393,34,0
115,11,5,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After § 7,25,GUE/NGL,RCV,-,270,375,50,0
116,11,6,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After § 19,28,GUE/NGL,RCV,+,360,248,82,0
117,11,7,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After § 27,45,IND/DEM,RCV,-,192,471,27,0
118,11,8,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After § 27,46/rev,IND/DEM,RCV,-,103,551,38,0
119,11,9,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After § 27,47,IND/DEM,RCV,-,235,407,49,0
120,11,10,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After § 34,18,GUE/NGL,RCV,+,395,213,78,0
121,11,11,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After § 35,83,"Mr TOUBON
and others",RCV,+,332,325,16,0
122,11,12,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,§ 38,5,"Mr TOUBON
and others",RCV,-,272,378,34,0
123,11,13,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,§ 38,48,IND/DEM,RCV,-,129,531,19,0
124,11,14,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,§ 38,32,GUE/NGL,RCV,-,128,517,49,0
125,11,15,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After § 38,20,GUE/NGL,RCV,-,165,490,32,0
126,11,16,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,§ 40,21,GUE/NGL,RCV,-,85,548,25,0
127,11,17,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After § 41,61,IND/DEM,RCV,-,108,576,13,0
128,11,18,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,§ 42,,0,RCV,+,498,137,38,0
129,11,19,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,§ 44,7,"Mr TOUBON
and others",RCV,-,252,407,34,0
130,11,20,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,1,After § 53,78,"Mr BROK
and others",RCV,+,481,167,38,0
131,11,21,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,2,After § 53,78,"Mr BROK
and others",RCV,-,225,447,17,0
132,11,22,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After § 54,51,IND/DEM,RCV,-,68,606,9,0
133,11,23,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,§ 55,74,Verts/ALE,RCV,-,76,594,16,0
134,11,24,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After § 55,65,"Mr POSSELT
and others",RCV,-,227,451,13,0
135,11,25,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After § 55,68,"Mrs DE
SARNEZ
and others",RCV,-,210,438,33,0
136,11,26,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,§ 58,76,"Mrs STENZEL
and others",RCV,-,199,455,25,0
137,11,27,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,§ 58,52,IND/DEM,RCV,-,87,588,20,0
138,11,28,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,§ 58,77,"Mr BROK
and others",RCV,-,230,446,19,0
139,11,29,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,§ 59,53,IND/DEM,RCV,-,155,514,24,0
140,11,30,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,§ 59,75,Greens/ALE,RCV,-,72,578,40,0
141,11,31,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After § 59,16,"Mr LANGEN
and others",RCV,-,175,486,28,0
142,11,32,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After § 59,15/rev,"Mr GAHLER
and others",RCV,-,165,489,38,0
143,11,33,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After § 59,13,"Mr EBNER
and others",RCV,-,217,436,36,0
144,11,34,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,§ 60,84D,"Mr
MORILLON
and others",RCV,-,234,436,18,0
145,11,35,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,§ 60,54,IND/DEM,RCV,-,177,497,22,0
146,11,36,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,§ 60,66,"Mr POSSELT
and others",RCV,-,240,432,20,0
147,11,37,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After recital E,34,IND/DEM,RCV,-,243,408,41,0
148,11,38,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After recital F,9,"Mr TOUBON
and others",RCV,-,258,409,28,0
149,11,39,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After recital Y,70,Verts/ALE,RCV,+,456,192,44,0
150,11,40,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After recital EE,38,IND/DEM,RCV,-,158,450,85,0
151,11,41,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After recital EE,80,"Mr POIGNANT
and others",RCV,+,470,198,24,0
152,11,42,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,Recital FF,82D,"Mr TOUBON
and others",RCV,-,244,420,27,0
153,11,43,15/12/2004,Turkey's progress towards accession,INI,Non,Motion for a resolution,s,Camiel Eurlings,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,AFET,Foreign & security policy,,After recital GG,40,IND/DEM,RCV,-,122,520,33,0
154,11,1,15/12/2004,EU-Russia Summit,RSP,Non,Joint motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,0,Foreign & security policy,,vote: resolution (as a whole),,0,RCV,+,547,30,10,0
155,11,1,15/12/2004,Asylum procedure and protection in regions of origin,INI,Non,Motion for a resolution,s,Jean Lambert,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,LIBE,"Civil liberties, justice & home affairs",,§ 12,§,0,RCV,+,499,104,11,0
156,11,2,15/12/2004,Asylum procedure and protection in regions of origin,INI,Non,Motion for a resolution,s,Jean Lambert,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,LIBE,"Civil liberties, justice & home affairs",,§ 15,3,GUE/NGL,RCV,+,312,289,15,0
157,11,3,15/12/2004,Asylum procedure and protection in regions of origin,INI,Non,Motion for a resolution,s,Jean Lambert,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,LIBE,"Civil liberties, justice & home affairs",,§ 17,4,GUE/NGL,RCV,+,316,281,15,0
158,11,1,15/12/2004,EU drugs strategy (2005-2012),INI,Non,Proposal for a recommendation of the European Parliament to the Council,s,Giusto Catania,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,LIBE,"Civil liberties, justice & home affairs",,"§ 1, point m)",4D,IND/DEM,RCV,-,253,301,14,0
159,11,2,15/12/2004,EU drugs strategy (2005-2012),INI,Non,Proposal for a recommendation of the European Parliament to the Council,s,Giusto Catania,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,LIBE,"Civil liberties, justice & home affairs",,"§ 1, point q)",,,RCV,+,517,50,17,0
160,11,3,15/12/2004,EU drugs strategy (2005-2012),INI,Non,Proposal for a recommendation of the European Parliament to the Council,s,Giusto Catania,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,LIBE,"Civil liberties, justice & home affairs",1,"§ 1, point w)",,0,RCV,+,526,28,18,0
161,11,4,15/12/2004,EU drugs strategy (2005-2012),INI,Non,Proposal for a recommendation of the European Parliament to the Council,s,Giusto Catania,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,LIBE,"Civil liberties, justice & home affairs",2,"§ 1, point w)",,0,RCV,+,284,280,12,0
162,11,5,15/12/2004,EU drugs strategy (2005-2012),INI,Non,Proposal for a recommendation of the European Parliament to the Council,s,Giusto Catania,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,LIBE,"Civil liberties, justice & home affairs",,"§ 1, point x)",5D,IND/DEM,RCV,-,112,462,16,0
163,11,6,15/12/2004,EU drugs strategy (2005-2012),INI,Non,Proposal for a recommendation of the European Parliament to the Council,s,Giusto Catania,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,LIBE,"Civil liberties, justice & home affairs",,"§ 1, point ac)",§,0,RCV,+,489,62,10,0
164,11,7,15/12/2004,EU drugs strategy (2005-2012),INI,Non,Proposal for a recommendation of the European Parliament to the Council,s,Giusto Catania,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,LIBE,"Civil liberties, justice & home affairs",,Recital A,,0,RCV,+,518,62,8,0
165,11,8,15/12/2004,EU drugs strategy (2005-2012),INI,Non,Proposal for a recommendation (as a whole),s,Giusto Catania,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041215&secondRef=TOC&language=EN,LIBE,"Civil liberties, justice & home affairs",,vote: recommendation (as a whole),,,RCV,+,285,273,23,0
166,12,1,16/12/2004,Rejection of the draft general budget for 2005,BUD,Bud,Motion for a resolution: rejection of the draft general budget for 2005,q,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,0,Budget,,vote: rejecting proposal,,0,RCV,-,52,496,1,0
167,12,1,16/12/2004,"2005 draft general budget, modified by the Council ",BUD,Bud,"2005 draft general budget, modified by the Council",q,Salvador Garriga Polledo and Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,BUDG,Budget,,04 02 01,21,0,RCV,-,43,523,7,0
168,12,2,16/12/2004,"2005 draft general budget, modified by the Council ",BUD,Bud,"2005 draft general budget, modified by the Council",q,Salvador Garriga Polledo and Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,BUDG,Budget,,01 02 04,3,0,RCV,+,457,112,4,0
169,12,3,16/12/2004,"2005 draft general budget, modified by the Council ",BUD,Bud,"2005 draft general budget, modified by the Council",q,Salvador Garriga Polledo and Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,BUDG,Budget,,04 03 03 01,33,0,RCV,+,495,76,5,0
170,12,4,16/12/2004,"2005 draft general budget, modified by the Council ",BUD,Bud,"2005 draft general budget, modified by the Council",q,Salvador Garriga Polledo and Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,BUDG,Budget,,04 03 03 02,313,0,RCV,+,496,81,3,0
171,12,5,16/12/2004,"2005 draft general budget, modified by the Council ",BUD,Bud,"2005 draft general budget, modified by the Council",q,Salvador Garriga Polledo and Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,BUDG,Budget,,15 06 01 03,124,0,RCV,+,464,84,25,0
172,12,6,16/12/2004,"2005 draft general budget, modified by the Council ",BUD,Bud,"2005 draft general budget, modified by the Council",q,Salvador Garriga Polledo and Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,BUDG,Budget,3,15 06 06,127,0,RCV,-,365,173,44,0
173,12,7,16/12/2004,"2005 draft general budget, modified by the Council ",BUD,Bud,"2005 draft general budget, modified by the Council",q,Salvador Garriga Polledo and Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,BUDG,Budget,,18 08 01,164,0,RCV,+,462,113,5,0
174,12,8,16/12/2004,"2005 draft general budget, modified by the Council ",BUD,Bud,"2005 draft general budget, modified by the Council",q,Salvador Garriga Polledo and Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,BUDG,Budget,,19 08 03,193,0,RCV,+,506,51,14,0
175,12,9,16/12/2004,"2005 draft general budget, modified by the Council ",BUD,Bud,"2005 draft general budget, modified by the Council",q,Salvador Garriga Polledo and Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,BUDG,Budget,,22 02 04 01,240,0,RCV,+,458,74,49,0
176,12,10,16/12/2004,"2005 draft general budget, modified by the Council ",BUD,Bud,"2005 draft general budget, modified by the Council",q,Salvador Garriga Polledo and Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,BUDG,Budget,,22 04 01,247,0,RCV,+,464,115,7,0
177,12,11,16/12/2004,"2005 draft general budget, modified by the Council ",BUD,Bud,"2005 draft general budget, modified by the Council",q,Salvador Garriga Polledo and Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,BUDG,Budget,,19 04 03,182,0,RCV,-,45,531,16,0
178,12,12,16/12/2004,"2005 draft general budget, modified by the Council ",BUD,Bud,"2005 draft general budget, modified by the Council",q,Salvador Garriga Polledo and Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,BUDG,Budget,,11,290,0,RCV,+,500,77,12,0
179,12,13,16/12/2004,"2005 draft general budget, modified by the Council ",BUD,Bud,"2005 draft general budget, modified by the Council",q,Salvador Garriga Polledo and Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,BUDG,Budget,,1891,291,0,RCV,+,523,52,14,0
180,12,14,16/12/2004,"2005 draft general budget, modified by the Council ",BUD,Bud,"2005 draft general budget, modified by the Council",q,Salvador Garriga Polledo and Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,BUDG,Budget,,11,293,0,RCV,+,507,78,6,0
181,12,15,16/12/2004,"2005 draft general budget, modified by the Council ",BUD,Bud,"2005 draft general budget, modified by the Council",q,Salvador Garriga Polledo and Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,BUDG,Budget,,1891,294,0,RCV,+,524,55,10,0
182,12,1,16/12/2004,"2006 draft general budget, modified by the Council (all sections)",BUD,Bud,"2005 draft general budget, modified by the Council (all sections)",q,Salvador Garriga Polledo and Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,BUDG,Budget,,After § 24,3,IND/DEM,RCV,-,156,400,27,0
183,12,2,16/12/2004,"2006 draft general budget, modified by the Council (all sections)",BUD,Bud,"2005 draft general budget, modified by the Council (all sections), resolution (as a whole)",q,Salvador Garriga Polledo and Anne Elisabet Jensen,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,BUDG,Budget,,vote: resolution (as a whole),,0,RCV,+,477,106,5,0
184,12,1,16/12/2004,Application of Article 251 of the EC Treaty,CNS,Leg,"Draft decision of the Council, single vote",s,Jean-Louis Bourlanges,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,LIBE,"Civil liberties, justice & home affairs",,single vote,,0,RCV,+,502,62,20,0
185,12,1,16/12/2004,Extension of the Community action programme in the field of civil protection,CNS,Leg,Proposal for a Council decision,s,Dimitrios Papadimoulis,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041216&secondRef=TOC&language=EN,ENVI,Environment & public health,,vote: legislative resolution,,0,RCV,+,562,16,7,0
