"Vote.Id" "Order" "X" "Date" "Title" "Procedure" "Leg.NonLeg" "Type.of.Vote" "Rule" "Rapporteur" "Link" "Committee" "Policy.Area" "Part.no" "Subject" "Am.no" "Author" "RCV" "Result" "Yaes" "Nays" "Abstentions" "Excluded"
"47" 47 5 10 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "08 11 01 01" "290" "0" "RCV" "-" "64" 524 6 0
"48" 48 5 11 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "14 02 01" "292" "0" "RCV" "-" "81" 511 10 0
"49" 49 5 12 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "16 04 02" "583" "0" "RCV" "+" "473" 114 3 0
"50" 50 5 13 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "18 03 08" "593" "0" "RCV" "+" "451" 111 7 0
"51" 51 5 14 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "18 08 01" "600" "0" "RCV" "+" "486" 114 5 0
"52" 52 5 15 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "2" "18 08 01" "159" "0" "RCV" "-" "101" 498 7 0
"53" 53 5 16 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "11 03 01" "291" "0" "RCV" "-" "126" 460 15 0
"54" 54 5 17 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "19 08 03" "221" "0" "RCV" "+" "530" 20 17 0
"55" 55 5 18 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "22 02 04 01" "663" "0" "RCV" "+" "485" 70 10 0
"56" 56 5 19 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "06 01 06" "295" "0" "RCV" "-" "90" 461 21 0
"57" 57 5 20 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "15 06 01 03" "570" "0" "RCV" "+" "455" 101 6 0
"58" 58 5 21 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "1" "2723" "727" "0" "RCV" "+" "438" 125 2 0
"59" 59 5 22 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "2" "2723" "727" "0" "RCV" "-" "237" 319 10 0
"60" 60 5 23 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "2727" "439" "0" "RCV" "+" "462" 101 14 0
"61" 61 5 24 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "11" "449" "0" "RCV" "+" "493" 67 8 0
"62" 62 5 25 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "1891" "450" "0" "RCV" "+" "493" 50 9 0
"63" 63 5 26 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "11" "413" "0" "RCV" "+" "487" 65 9 0
"64" 64 5 27 "28/10/2004" "General budget of the European Union - 2005 financial year" "BUD" "Bud" "General budget of the European Union - 2005 financial year" "q" "0" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "0" "Budget" "" "1891" "452" "0" "RCV" "+" "501" 53 5 0
"65" 65 5 1 "28/10/2004" "2005 draft general budget: section III" "BUD" "Bud" "2005 draft general budget: section III" "s" "Salvador Garriga Polledo" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "BUDG" "Budget" "" "After § 1" "3" "GUE/NGL" "RCV" "-" "91" 375 5 0
"66" 66 5 1 "28/10/2004" "2006 draft general budget: section III" "BUD" "Bud" "2005 draft general budget: section III" "s" "Salvador Garriga Polledo" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "BUDG" "Budget" "" "After § 1" "4" "GUE/NGL" "RCV" "-" "36" 486 4 0
"67" 67 5 1 "28/10/2004" "2007 draft general budget: section III" "BUD" "Bud" "2005 draft general budget: section III" "s" "Salvador Garriga Polledo" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "BUDG" "Budget" "" "§ 15" "" "0" "RCV" "+" "431" 86 3 0
"68" 68 5 1 "28/10/2004" "2008 draft general budget: section III" "BUD" "Bud" "2005 draft general budget: section III" "s" "Salvador Garriga Polledo" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "BUDG" "Budget" "" "§ 18" "" "0" "RCV" "+" "432" 91 5 0
"69" 69 5 1 "28/10/2004" "2009 draft general budget: section III" "BUD" "Bud" "2005 draft general budget: section III" "s" "Salvador Garriga Polledo" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "BUDG" "Budget" "" "§ 26" "5" "UEN" "RCV" "-" "256" 274 11 0
"70" 70 5 1 "28/10/2004" "2010 draft general budget: section III" "BUD" "Bud" "2005 draft general budget: section III" "s" "Salvador Garriga Polledo" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "BUDG" "Budget" "" "§ 38" "" "0" "RCV" "+" "435" 92 5 0
"71" 71 5 1 "28/10/2004" "2011 draft general budget: section III" "BUD" "Bud" "2005 draft general budget: section III" "s" "Salvador Garriga Polledo" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "BUDG" "Budget" "" "After recital A" "2" "GUE/NGL" "RCV" "-" "79" 429 11 0
"72" 72 5 1 "28/10/2004" "2012 draft general budget: section III" "BUD" "Bud" "2005 draft general budget, resolution (as a whole)" "s" "Salvador Garriga Polledo" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "BUDG" "Budget" "" "vote: resolution (as a whole)" "" "" "RCV" "+" "439" 94 7 0
"73" 73 5 1 "28/10/2004" "2005 draft general budget: other sections" "BUD" "Bud" "2005 draft general budget: other sections" "s" "Anne Elisabet Jensen" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "BUDG" "Budget" "" "§ 12" "" "0" "RCV" "+" "435" 45 32 0
"74" 74 5 1 "28/10/2004" "2006 draft general budget: other sections" "BUD" "Bud" "2005 draft general budget: other sections" "s" "Anne Elisabet Jensen" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "BUDG" "Budget" "" "§ 21" "" "0" "RCV" "+" "424" 90 8 0
"75" 75 5 1 "28/10/2004" "2007 draft general budget: other sections" "BUD" "Bud" "2005 draft general budget: other sections" "s" "Anne Elisabet Jensen" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "BUDG" "Budget" "" "After § 22" "1" "Verts/ALE" "RCV" "-" "132" 366 23 0
"76" 76 5 1 "28/10/2004" "2008 draft general budget: other sections" "BUD" "Bud" "2005 draft general budget: other sections" "s" "Anne Elisabet Jensen" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "BUDG" "Budget" "" "§ 40" "" "0" "RCV" "+" "448" 70 4 0
"77" 77 5 1 "28/10/2004" "2009 draft general budget: other sections" "BUD" "Bud" "2005 draft general budget: other sections" "s" "Anne Elisabet Jensen" "http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20041028&secondRef=TOC" "BUDG" "Budget" "" "§ 43" "" "0" "RCV" "+" "444" 65 4 0
